Sido,Sigun,id,moon,hong,ahn,yoo,shim,etc,1st,1st_C,2nd,2nd_C,gap,final
전북,순창군,45770,0.615,0.034,0.281,0.016,0.038,0.015,0.615,Moon,0.281,Ahn,0.334,0.615
전북,고창군,45790,0.614,0.031,0.287,0.019,0.037,0.012,0.614,Moon,0.287,Ahn,0.326,0.614
전북,부안군,45800,0.617,0.041,0.27,0.019,0.045,0.008,0.617,Moon,0.27,Ahn,0.347,0.617
전남,목포시,46110,0.537,0.018,0.368,0.021,0.052,0.004,0.537,Moon,0.368,Ahn,0.17,0.537
전남,여수시,46130,0.636,0.023,0.272,0.023,0.04,0.006,0.636,Moon,0.272,Ahn,0.365,0.636
전남,순천시,46150,0.678,0.025,0.224,0.024,0.041,0.008,0.678,Moon,0.224,Ahn,0.454,0.678
전남,나주시,46170,0.618,0.02,0.295,0.021,0.038,0.008,0.618,Moon,0.295,Ahn,0.322,0.618
전남,광양시,46230,0.662,0.043,0.209,0.033,0.047,0.007,0.662,Moon,0.209,Ahn,0.453,0.662
전남,담양군,46710,0.608,0.021,0.305,0.018,0.037,0.01,0.608,Moon,0.305,Ahn,0.303,0.608
전남,곡성군,46720,0.577,0.03,0.325,0.016,0.038,0.014,0.577,Moon,0.325,Ahn,0.252,0.577
전남,구례군,46730,0.631,0.033,0.276,0.015,0.034,0.011,0.631,Moon,0.276,Ahn,0.355,0.631
전남,고흥군,46770,0.577,0.029,0.335,0.015,0.026,0.019,0.577,Moon,0.335,Ahn,0.242,0.577
전남,보성군,46780,0.56,0.025,0.353,0.018,0.032,0.013,0.56,Moon,0.353,Ahn,0.207,0.56
전남,화순군,46790,0.597,0.018,0.319,0.017,0.038,0.011,0.597,Moon,0.319,Ahn,0.278,0.597
전남,장흥군,46800,0.549,0.024,0.355,0.019,0.036,0.017,0.549,Moon,0.355,Ahn,0.194,0.549
전남,강진군,46810,0.499,0.03,0.406,0.02,0.036,0.01,0.499,Moon,0.406,Ahn,0.093,0.499
